,0,1,2,3
C3AR1,0.111,0.979,0.125,0.116
ABP1,0.035,0.019,0.999,0.004
NRGN,0.981,0.064,0.168,0.079
C9orf82,0.076,0.009,0.086,0.993
PROCR,0.965,0.075,0.214,0.133
MAP9,0.089,0.049,0.986,0.133
COX7A1,0.973,0.107,0.155,0.136
SDC4,0.064,0.044,0.997,0.03
MPZL2,0.09,0.06,0.988,0.114
GLCE,0.115,0.09,0.127,0.981
C21orf91,0.048,0.069,0.044,0.995
GOLGA8A,0.04,0.109,0.991,0.061
CALCB,0.112,0.085,0.972,0.191
RGS16,0.95,0.166,0.217,0.152
TMOD1,0.02,0.992,0.04,0.118
STARD5,0.943,0.182,0.202,0.193
CACNA2D2,0.105,0.112,0.982,0.109
RAB31,0.135,0.977,0.134,0.094
ACP5,0.125,0.981,0.102,0.106
FBLN5,0.122,0.976,0.169,0.063
FAM50B,0.083,0.183,0.97,0.137
CBLC,0.045,0.055,0.997,0.029
DSCR6,0.014,0.047,0.999,0.015
CDH2,0.115,0.061,0.99,0.059
SDPR,0.029,0.043,0.039,0.998
SENP5,0.111,0.137,0.143,0.974
HSPA6,0.119,0.976,0.162,0.084
DKK3,0.122,0.083,0.104,0.984
GAD1,0.056,0.985,0.151,0.065
NETO2,0.956,0.201,0.178,0.116
KLRB1,0.051,0.988,0.096,0.108
CX3CR1,0.072,0.039,0.996,0.024
CCDC46,0.956,0.141,0.226,0.126
COLEC11,0.036,0.083,0.055,0.994
SLA,0.085,0.985,0.107,0.107
BTN3A3,0.101,0.981,0.152,0.06
HPSE,0.158,0.938,0.167,0.259
FA2H,0.02,0.051,0.998,0.023
DSC1,0.995,0.026,0.097,0.022
GALNAC4S-6ST,0.134,0.969,0.101,0.18
MYO5C,0.092,0.963,0.238,0.086
SRD5A1,0.963,0.098,0.152,0.201
CLIP4,0.026,0.014,0.014,0.999
SGEF,0.055,0.091,0.097,0.99
IL24,0.997,0.013,0.066,0.033
STAP2,0.043,0.174,0.981,0.072
LIN7A,0.013,0.005,0.01,1.0
MEIS1,0.059,0.062,0.996,0.035
ITM2A,0.076,0.979,0.147,0.12
CNN3,0.148,0.965,0.156,0.15
ITGA3,0.17,0.01,0.985,0.014
PTER,0.068,0.104,0.992,0.019
APOH,0.118,0.13,0.975,0.135
C5,0.128,0.137,0.176,0.966
CFD,0.054,0.099,0.992,0.053
DDHD2,0.045,0.131,0.98,0.143
HOXB6,0.026,0.004,1.0,0.003
ALOX15B,0.163,0.928,0.274,0.191
CDC42EP3,0.168,0.954,0.174,0.18
ZNF468,0.077,0.069,0.994,0.038
TNIK,0.958,0.097,0.202,0.182
DSG1,0.984,0.067,0.155,0.06
RICS,0.046,0.022,0.999,0.018
RHOH,0.09,0.975,0.106,0.17
PSTPIP2,0.038,0.077,0.044,0.995
CYP26B1,0.982,0.086,0.155,0.062
REEP1,0.127,0.112,0.167,0.971
ZNF323,0.117,0.098,0.153,0.976
GC,0.012,0.998,0.054,0.007
TRPS1,0.953,0.157,0.182,0.185
CAP2,0.972,0.078,0.175,0.133
GNA15,0.222,0.057,0.969,0.09
FKBP11,0.158,0.972,0.147,0.092
HMGCS1,0.082,0.115,0.119,0.983
SEZ6L2,0.971,0.103,0.21,0.039
DPY19L1,0.962,0.114,0.135,0.21
F2RL1,0.983,0.015,0.131,0.128
ZNF165,0.097,0.057,0.993,0.028
WIPI1,0.085,0.125,0.112,0.982
GNG11,0.97,0.109,0.175,0.128
GALNT12,0.036,0.02,0.999,0.025
BNIP3,0.056,0.079,0.06,0.994
PPP1R13L,0.042,0.006,0.999,0.002
GABRR1,0.072,0.138,0.982,0.103
GLI3,0.097,0.078,0.992,0.03
LRRC8E,0.972,0.048,0.158,0.165
USP13,0.035,0.073,0.057,0.995
PLOD2,0.139,0.963,0.129,0.194
DDIT4,0.996,0.032,0.066,0.052
FLJ10986,0.016,0.474,0.873,0.112
LBH,0.13,0.101,0.13,0.978
GPM6B,0.962,0.104,0.19,0.169
HOOK1,0.919,0.187,0.288,0.193
HNT,0.986,0.04,0.11,0.115
MS4A1,0.119,0.973,0.159,0.119
S100A4,0.1,0.058,0.989,0.092
LAX1,0.077,0.982,0.136,0.104
GFPT2,0.989,0.071,0.121,0.049
MAD1L1,0.147,0.959,0.232,0.069
AFP,0.11,0.235,0.94,0.222
EMP3,0.987,0.098,0.11,0.067
MPPED2,0.021,0.069,0.997,0.036
HOXC4,0.054,0.1,0.992,0.058
ABCG2,0.079,0.073,0.119,0.987
BMP5,0.121,0.109,0.977,0.14
TMEM176A,0.119,0.979,0.122,0.112
GPD1L,0.035,0.09,0.992,0.079
SFN,0.087,0.029,0.034,0.995
NRAS,0.104,0.959,0.148,0.216
MEST,0.09,0.118,0.098,0.984
C12orf24,0.025,0.068,0.04,0.997
PIK3CA,0.048,0.04,0.047,0.997
CADPS2,0.947,0.17,0.245,0.123
UCP2,0.048,0.993,0.099,0.049
PTPRE,0.955,0.148,0.224,0.127
KCNK3,0.097,0.038,0.994,0.045
PRKD1,0.097,0.056,0.09,0.99
GUCY1A3,0.974,0.095,0.136,0.156
EFS,0.055,0.028,0.997,0.053
TYRP1,0.123,0.068,0.988,0.071
KLHL23,0.04,0.096,0.057,0.993
C14orf132,0.109,0.96,0.249,0.067
CHST1,0.982,0.057,0.082,0.158
DUSP14,0.129,0.055,0.058,0.988
CYBB,0.08,0.986,0.103,0.101
RNASE4,0.959,0.096,0.253,0.086
PPAP2C,0.015,0.982,0.062,0.178
LMCD1,0.103,0.053,0.075,0.99
C1orf34,0.065,0.157,0.978,0.125
CCR1,0.108,0.98,0.128,0.107
EGR2,0.956,0.105,0.096,0.257
SCGB2A1,0.11,0.084,0.989,0.047
FAM59A,0.021,0.006,1.0,0.011
FLJ20160,0.073,0.148,0.176,0.971
IGL@,0.083,0.988,0.084,0.096
DRAM,0.173,0.957,0.202,0.113
C1orf103,0.105,0.944,0.247,0.191
TMEM156,0.059,0.078,0.07,0.993
LGALS1,0.976,0.132,0.14,0.097
P53AIP1,0.13,0.163,0.975,0.071
SLC15A2,0.052,0.092,0.135,0.985
SLC7A7,0.085,0.988,0.091,0.09
CLC,0.059,0.103,0.99,0.071
ENPP2,0.133,0.967,0.183,0.114
OSBPL10,0.959,0.103,0.189,0.186
ABCC4,0.092,0.051,0.159,0.982
HOXA4,0.097,0.041,0.99,0.091
HLA-DPA1,0.056,0.994,0.078,0.051
COL3A1,0.983,0.105,0.096,0.117
ERO1L,0.949,0.082,0.185,0.24
TMEM30B,0.076,0.068,0.993,0.056
HYAL1,0.967,0.094,0.151,0.185
ERLIN2,0.056,0.04,0.129,0.989
MYH10,0.988,0.032,0.123,0.088
SYCP2,0.055,0.986,0.15,0.046
RAPGEFL1,0.02,0.005,1.0,0.015
CCNE1,0.086,0.977,0.176,0.08
HIST1H3D,0.97,0.064,0.203,0.115
SCRN1,0.963,0.134,0.199,0.121
FER1L3,0.106,0.006,0.994,0.016
GCH1,0.038,0.988,0.143,0.038
FADD,0.022,0.995,0.083,0.052
SMAD7,0.959,0.161,0.22,0.074
NRIP1,0.988,0.036,0.129,0.076
CENTD1,0.075,0.086,0.992,0.049
STK17B,0.153,0.956,0.142,0.208
CDKN3,0.05,0.083,0.053,0.994
COL6A2,0.996,0.033,0.083,0.029
TAP1,0.073,0.993,0.078,0.045
EPHB6,0.02,0.031,0.999,0.022
ZFP36,0.993,0.046,0.102,0.033
B3GNT2,0.1,0.125,0.134,0.978
THNSL2,0.037,0.07,0.996,0.027
NUAK2,0.977,0.093,0.116,0.15
SKAP1,0.071,0.984,0.144,0.079
NUDT2,0.015,0.145,0.096,0.985
SERPINB1,0.121,0.067,0.111,0.984
JAG1,0.14,0.064,0.108,0.982
STXBP1,0.151,0.973,0.149,0.091
FCGR1A,0.077,0.983,0.113,0.119
ICAM3,0.089,0.982,0.145,0.082
MGC72080,0.047,0.085,0.089,0.991
LYN,0.04,0.984,0.064,0.159
SHOX2,0.963,0.076,0.192,0.173
CUGBP2,0.119,0.971,0.168,0.123
HSD17B8,0.023,0.049,0.071,0.996
DYNLT3,0.121,0.017,0.081,0.989
GSTM4,0.016,0.051,0.027,0.998
HSD11B1,0.146,0.955,0.157,0.207
PBX3,0.964,0.15,0.196,0.102
FYB,0.048,0.994,0.085,0.038
NRXN3,0.032,0.076,0.987,0.138
RELN,0.123,0.139,0.971,0.151
DPM3,0.051,0.071,0.089,0.992
DOCK4,0.133,0.966,0.155,0.157
FBLN2,0.964,0.156,0.187,0.104
RHOB,0.997,0.022,0.069,0.012
TXNIP,0.072,0.037,0.997,0.012
FGR,0.128,0.969,0.195,0.081
POF1B,0.048,0.022,0.996,0.076
GRB7,0.03,0.014,0.999,0.023
TUBA4A,0.971,0.109,0.124,0.175
CCNE2,0.078,0.969,0.139,0.188
RRAS,0.975,0.089,0.18,0.091
LY86,0.147,0.966,0.156,0.142
VASH2,0.052,0.989,0.13,0.047
ID3,0.987,0.036,0.127,0.086
HOXA10,0.071,0.068,0.994,0.04
RCAN2,0.975,0.109,0.168,0.097
C1orf38,0.082,0.987,0.119,0.072
SPHK1,0.965,0.145,0.154,0.155
TLR5,0.07,0.126,0.097,0.985
SDCCAG8,0.048,0.988,0.069,0.131
PIM2,0.07,0.989,0.095,0.089
RAC2,0.171,0.965,0.161,0.114
AOAH,0.09,0.959,0.119,0.239
TNNI3,0.968,0.099,0.199,0.118
KRT8,0.024,0.075,0.104,0.991
SLAMF8,0.093,0.984,0.113,0.1
PLAUR,0.957,0.194,0.173,0.129
IL2RB,0.036,0.996,0.074,0.034
GYPC,0.081,0.984,0.136,0.081
EXPH5,0.144,0.093,0.181,0.968
LGR4,0.942,0.108,0.189,0.254
KRT7,0.026,0.014,1.0,0.004
FAM57A,0.073,0.061,0.073,0.993
MCCC1,0.005,0.011,0.02,1.0
COL16A1,0.961,0.197,0.18,0.068
ANP32A,0.091,0.961,0.189,0.182
TIPARP,0.993,0.043,0.079,0.078
ERO1LB,0.044,0.992,0.102,0.056
EPB41L4B,0.075,0.981,0.112,0.141
DARC,0.962,0.145,0.207,0.1
PLD1,0.111,0.06,0.088,0.988
BCL2L14,0.017,0.524,0.851,0.024
EDG2,0.084,0.028,0.054,0.995
RRAGD,0.039,0.127,0.081,0.988
AOC3,0.976,0.101,0.181,0.063
TTC9,0.074,0.066,0.112,0.989
SH3TC1,0.12,0.973,0.187,0.058
RFTN1,0.124,0.972,0.195,0.036
ST6GALNAC5,0.982,0.085,0.145,0.083
EGF,0.026,0.056,0.039,0.997
TPBG,0.989,0.017,0.143,0.021
SSPN,0.095,0.056,0.994,0.021
COL6A3,0.988,0.072,0.099,0.096
HOXD10,0.109,0.117,0.986,0.038
MYO10,0.985,0.079,0.109,0.112
DOCK2,0.056,0.992,0.081,0.075
ZNF652,0.139,0.008,0.99,0.023
GRAMD1C,0.05,0.052,0.997,0.035
LXN,0.989,0.06,0.113,0.07
DAAM1,0.969,0.057,0.234,0.06
KLHL7,0.069,0.095,0.084,0.99
SLC24A3,0.988,0.061,0.137,0.049
CLDN4,0.035,0.108,0.114,0.987
GRB10,0.044,0.056,0.06,0.996
DHRS3,0.013,0.017,1.0,0.015
SCG3,0.087,0.099,0.987,0.096
SGCG,0.102,0.093,0.981,0.135
GLTP,0.032,0.055,0.095,0.993
CRNN,0.148,0.122,0.965,0.18
AVPI1,0.153,0.014,0.988,0.02
NUP62CL,0.054,0.127,0.134,0.981
EXT1,0.127,0.057,0.075,0.988
ZNF365,0.975,0.087,0.18,0.095
CLDN7,0.027,0.064,0.997,0.016
LHFP,0.976,0.106,0.153,0.116
EZH2,0.069,0.959,0.12,0.246
tcag7.1314,0.072,0.074,0.076,0.992
GIMAP6,0.087,0.978,0.149,0.116
RASSF2,0.084,0.984,0.126,0.088
HDHD1A,0.043,0.044,0.065,0.996
SETBP1,0.134,0.135,0.171,0.967
NES,0.244,0.059,0.967,0.05
CGA,0.063,0.092,0.993,0.038
PLSCR4,0.139,0.965,0.161,0.156
PCTP,0.215,0.015,0.976,0.037
COL8A2,0.149,0.964,0.21,0.071
SMYD3,0.104,0.064,0.108,0.987
CORO2A,0.041,0.033,0.99,0.127
PLA2G2A,0.11,0.111,0.981,0.117
FRZB,0.163,0.948,0.236,0.137
CD74,0.058,0.995,0.075,0.014
RPRM,0.024,0.232,0.972,0.028
NGFR,0.02,0.994,0.105,0.037
EML1,0.982,0.04,0.091,0.163
PBK,0.049,0.066,0.033,0.996
CD55,0.108,0.092,0.986,0.089
APOA2,0.098,0.089,0.976,0.175
KLRK1,0.02,0.998,0.051,0.04
FOLR2,0.94,0.157,0.209,0.22
C14orf147,0.064,0.027,0.043,0.997
CREB5,0.069,0.044,0.073,0.994
SLC28A3,0.984,0.084,0.152,0.029
C1orf106,0.035,0.009,0.999,0.003
JAM3,0.97,0.11,0.185,0.111
SV2A,0.127,0.111,0.156,0.973
FUT3,0.055,0.089,0.988,0.114
CR2,0.963,0.15,0.155,0.158
CMAH,0.157,0.944,0.253,0.141
LMO2,0.944,0.104,0.297,0.101
PLCD1,0.065,0.031,0.997,0.017
HOXD1,0.013,0.021,1.0,0.006
IL23A,0.01,0.996,0.089,0.011
SELE,0.108,0.984,0.128,0.059
SPON2,0.987,0.052,0.122,0.086
PSD3,0.077,0.05,0.096,0.991
PITPNC1,0.07,0.983,0.153,0.072
ID2,0.084,0.979,0.182,0.048
DNAJB4,0.077,0.079,0.062,0.992
AKR1B1,0.019,0.026,0.016,0.999
NME5,0.066,0.049,0.995,0.05
FAM131A,0.035,0.024,0.034,0.999
LAMA2,0.975,0.076,0.187,0.091
SLC39A4,0.011,0.037,0.061,0.997
P2RY5,0.108,0.1,0.988,0.054
USP18,0.134,0.962,0.193,0.135
NR3C2,0.05,0.079,0.995,0.041
OSMR,0.988,0.042,0.1,0.107
FSCN1,0.177,0.05,0.151,0.971
GP2,0.011,0.999,0.042,0.008
SVIL,0.121,0.098,0.123,0.98
DPEP3,0.32,0.046,0.943,0.085
SLC2A9,0.101,0.022,0.989,0.109
CD44,0.978,0.053,0.081,0.183
TNFRSF1B,0.07,0.99,0.105,0.068
SLC16A4,0.951,0.193,0.212,0.118
SMPDL3A,0.102,0.972,0.206,0.046
TKT,0.003,0.013,0.005,1.0
PPFIA1,0.019,0.996,0.074,0.05
USP46,0.056,0.052,0.134,0.988
PLEK,0.091,0.984,0.119,0.1
ANGPTL4,0.083,0.073,0.989,0.099
PPP1R9A,0.044,0.077,0.996,0.023
TLR2,0.171,0.943,0.189,0.213
SPRY1,0.965,0.119,0.182,0.15
LSAMP,0.099,0.983,0.14,0.062
PYCARD,0.049,0.365,0.927,0.071
SERPING1,0.981,0.104,0.154,0.052
DPYSL2,0.96,0.179,0.177,0.119
TMEM35,0.11,0.064,0.975,0.181
CTSH,0.094,0.023,0.995,0.013
LAPTM5,0.073,0.991,0.094,0.055
ADAMTS3,0.103,0.19,0.976,0.038
SLC12A2,0.06,0.963,0.18,0.194
NPM3,0.026,0.046,0.045,0.998
GPR125,0.11,0.091,0.981,0.129
PLEKHA1,0.031,0.011,0.023,0.999
PALLD,0.085,0.079,0.067,0.991
MAP3K8,0.164,0.944,0.2,0.205
FHL1,0.984,0.062,0.133,0.096
ICAM2,0.074,0.987,0.124,0.078
GPR65,0.085,0.981,0.126,0.122
ZFPM2,0.15,0.953,0.187,0.188
PLN,0.966,0.159,0.185,0.085
MEOX2,0.969,0.129,0.177,0.112
GJB3,0.113,0.045,0.992,0.03
IRF1,0.025,0.997,0.064,0.026
EPB41L2,0.137,0.949,0.147,0.245
C15orf29,0.928,0.152,0.227,0.252
PLEKHB1,0.07,0.098,0.992,0.036
SLC27A5,0.076,0.093,0.108,0.987
MAN1C1,0.173,0.944,0.235,0.153
PTPRG,0.96,0.101,0.168,0.199
LAD1,0.099,0.006,0.995,0.014
ASB9,0.025,0.132,0.055,0.989
HIST1H2BF,0.955,0.122,0.203,0.178
PSMB8,0.113,0.974,0.171,0.096
XYLT1,0.978,0.117,0.16,0.057
USP9Y,0.036,0.119,0.992,0.023
PTBP2,0.12,0.958,0.226,0.129
HAMP,0.126,0.971,0.168,0.113
EAF2,0.086,0.979,0.142,0.116
C1orf116,0.055,0.017,0.998,0.024
C11orf71,0.075,0.097,0.167,0.978
RCAN1,0.097,0.103,0.114,0.983
FLRT2,0.997,0.018,0.07,0.029
CRYZ,0.095,0.953,0.27,0.103
UNC13B,0.074,0.074,0.992,0.072
DST,0.148,0.09,0.136,0.975
GNE,0.067,0.081,0.096,0.99
CHD7,0.069,0.081,0.994,0.034
DMD,0.119,0.97,0.207,0.05
ELOVL6,0.03,0.058,0.045,0.997
MLF1IP,0.035,0.987,0.071,0.136
RHOBTB1,0.98,0.078,0.163,0.08
DDEF2,0.164,0.916,0.299,0.21
TRIB1,0.126,0.048,0.991,0.01
MYC,0.053,0.164,0.047,0.984
CYTL1,0.977,0.076,0.112,0.166
MAFF,0.274,0.016,0.958,0.08
ISLR,0.991,0.048,0.111,0.06
AMMECR1,0.059,0.078,0.122,0.988
ZNF329,0.966,0.066,0.241,0.068
CHST10,0.13,0.06,0.168,0.975
ERMP1,0.059,0.056,0.205,0.975
DHRS1,0.046,0.032,0.998,0.028
BCAT1,0.089,0.18,0.128,0.971
TAPBPL,0.044,0.143,0.988,0.045
MERTK,0.081,0.134,0.133,0.979
LOC93349,0.082,0.093,0.992,0.023
LIF,0.964,0.111,0.183,0.156
EPYC,0.155,0.135,0.972,0.116
EML4,0.097,0.965,0.186,0.154
FOXF1,0.156,0.944,0.199,0.214
FEZ1,0.047,0.033,0.03,0.998
SPIB,0.014,0.999,0.043,0.013
MEGF9,0.03,0.029,0.04,0.998
GBA3,0.053,0.255,0.964,0.053
C11orf75,0.152,0.961,0.096,0.212
CA8,0.024,0.005,0.011,1.0
IRF8,0.08,0.983,0.105,0.125
APOL6,0.103,0.978,0.159,0.091
PAK7,0.048,0.021,0.035,0.998
BST1,0.088,0.111,0.11,0.984
TDRD7,0.06,0.989,0.118,0.065
NCALD,0.14,0.967,0.187,0.099
IFITM2,0.972,0.121,0.136,0.146
SLC7A8,0.12,0.017,0.043,0.992
BPGM,0.969,0.089,0.149,0.175
FAM30A,0.127,0.962,0.125,0.209
RUNX3,0.037,0.996,0.067,0.054
CPB2,0.101,0.086,0.989,0.057
SGK,0.02,0.996,0.032,0.079
ABCG1,0.076,0.122,0.161,0.977
LBP,0.082,0.034,0.66,0.746
STAT4,0.058,0.99,0.107,0.069
PTGES,0.025,0.031,0.999,0.009
CBX6,0.045,0.143,0.129,0.98
BSPRY,0.055,0.116,0.989,0.068
SCML1,0.107,0.086,0.088,0.987
ART3,0.085,0.101,0.986,0.102
CAV2,0.972,0.029,0.072,0.221
GALE,0.05,0.065,0.995,0.059
DVL3,0.042,0.016,0.036,0.998
MCAM,0.964,0.147,0.184,0.128
PKM2,0.201,0.014,0.979,0.032
ST5,0.973,0.088,0.199,0.075
SMC6,0.113,0.96,0.177,0.188
ALDH2,0.044,0.996,0.048,0.057
NOS3,0.104,0.26,0.939,0.201
RIMBP2,0.084,0.39,0.857,0.327
ZMAT4,0.065,0.077,0.125,0.987
CCNA2,0.027,0.984,0.05,0.167
AP1S2,0.96,0.141,0.133,0.2
UBE2L6,0.045,0.547,0.836,0.017
ERC2,0.014,0.021,0.017,1.0
APOOL,0.028,0.038,0.039,0.998
TST,0.062,0.01,0.052,0.997
TRIM2,0.017,0.042,0.049,0.998
ZNF643,0.959,0.09,0.239,0.122
MAFB,0.96,0.17,0.144,0.17
MARCH3,0.075,0.125,0.118,0.982
KCNE4,0.979,0.085,0.151,0.105
C2,0.15,0.963,0.185,0.125
SEPX1,0.028,0.041,0.025,0.998
FNBP1L,0.07,0.086,0.993,0.04
LOX,0.991,0.042,0.112,0.062
GRHL2,0.03,0.148,0.97,0.19
SPC25,0.065,0.969,0.106,0.212
MPP1,0.128,0.971,0.139,0.148
RNF144A,0.169,0.95,0.237,0.112
RABL4,0.016,0.019,0.023,0.999
SLC31A2,0.156,0.969,0.177,0.066
RCN3,0.983,0.08,0.143,0.086
SPARC,0.989,0.071,0.118,0.062
FZD6,0.098,0.15,0.184,0.966
EIF5A2,0.076,0.104,0.098,0.987
TCF4,0.097,0.073,0.062,0.991
FAIM,0.147,0.939,0.299,0.09
JAG2,0.075,0.083,0.091,0.99
MSN,0.974,0.127,0.101,0.159
ITK,0.053,0.992,0.09,0.074
HMMR,0.035,0.988,0.075,0.132
EN1,0.13,0.032,0.991,0.024
PTPRR,0.019,0.154,0.988,0.006
BHMT2,0.056,0.181,0.981,0.032
PIPOX,0.03,0.997,0.069,0.014
C14orf101,0.126,0.022,0.103,0.986
MACF1,0.169,0.953,0.215,0.132
VNN3,0.031,0.105,0.992,0.06
NR1H3,0.05,0.992,0.102,0.045
COL18A1,0.976,0.1,0.149,0.121
CDCP1,0.124,0.117,0.119,0.978
CTH,0.063,0.093,0.117,0.987
SLC12A8,0.059,0.045,0.043,0.996
BCAR3,0.942,0.197,0.225,0.152
COL4A6,0.045,0.005,0.067,0.997
SPA17,0.149,0.939,0.299,0.081
ZNF573,0.118,0.052,0.99,0.061
TRIP13,0.039,0.127,0.067,0.989
MAGEF1,0.016,0.008,0.018,1.0
IFI30,0.06,0.993,0.071,0.07
ZNF430,0.951,0.086,0.276,0.107
DUSP1,0.985,0.111,0.108,0.083
ZNF302,0.079,0.108,0.989,0.071
HTR2B,0.113,0.123,0.979,0.113
INSIG1,0.089,0.115,0.109,0.983
MXRA8,0.99,0.05,0.117,0.051
EMR2,0.103,0.975,0.162,0.11
FSTL1,0.982,0.081,0.157,0.068
ETHE1,0.056,0.037,0.996,0.06
RPS6KA2,0.943,0.177,0.258,0.114
ETS2,0.155,0.03,0.98,0.123
PMP22,0.966,0.152,0.124,0.17
CEBPG,0.103,0.957,0.125,0.242
CD83,0.114,0.982,0.134,0.066
PRKCSH,0.102,0.011,0.995,0.007
SLC12A6,0.107,0.072,0.975,0.183
DEF8,0.09,0.081,0.118,0.986
DDIT3,0.066,0.077,0.108,0.989
SOD2,0.066,0.984,0.05,0.156
PDK1,0.05,0.074,0.07,0.994
CPD,0.06,0.057,0.068,0.994
PELI1,0.096,0.105,0.097,0.985
FZD3,0.141,0.053,0.979,0.138
HIST1H2BE,0.963,0.103,0.189,0.166
HOXD11,0.059,0.053,0.997,0.016
ZMIZ1,0.12,0.048,0.96,0.248
TINAGL1,0.036,0.01,0.999,0.005
LACTB2,0.096,0.973,0.164,0.133
KIAA0182,0.098,0.977,0.166,0.094
PTPRO,0.161,0.946,0.208,0.19
DIO2,0.977,0.061,0.114,0.172
WFDC1,0.979,0.044,0.18,0.09
MGC14376,0.946,0.102,0.294,0.095
IQCA,0.942,0.132,0.242,0.193
ARHGAP15,0.095,0.98,0.132,0.117
KLHL24,0.031,0.007,0.021,0.999
CTTN,0.023,0.994,0.097,0.051
PABPC4,0.075,0.074,0.993,0.053
SACS,0.937,0.189,0.159,0.246
PGAP1,0.073,0.146,0.172,0.972
GPSM2,0.068,0.977,0.14,0.144
ARHGEF5,0.047,0.025,0.061,0.997
PLCE1,0.036,0.035,0.997,0.062
TRIM22,0.168,0.952,0.251,0.045
COL2A1,0.098,0.164,0.975,0.115
AMOTL2,0.971,0.095,0.203,0.084
IER5,0.102,0.049,0.994,0.015
HLA-DRB1,0.08,0.992,0.087,0.049
MAF,0.949,0.193,0.141,0.204
STAT1,0.03,0.998,0.061,0.013
DCUN1D1,0.046,0.041,0.047,0.997
ACOX2,0.14,0.155,0.22,0.953
LOC63920,0.068,0.048,0.993,0.086
MMD,0.14,0.971,0.12,0.156
MAFG,0.017,0.032,0.022,0.999
RALB,0.084,0.02,0.046,0.995
ATP1B1,0.114,0.127,0.103,0.98
C11orf41,0.06,0.982,0.049,0.175
RGS2,0.948,0.186,0.11,0.235
CELSR2,0.952,0.131,0.225,0.16
FAM13A1,0.023,0.02,0.999,0.018
TNS3,0.097,0.087,0.991,0.019
ANKRD6,0.087,0.966,0.225,0.096
SMARCA2,0.06,0.98,0.14,0.13
LILRB1,0.07,0.99,0.099,0.075
LRRC49,0.041,0.114,0.992,0.022
KIAA1324,0.063,0.032,0.066,0.995
NPR2,0.994,0.019,0.057,0.094
PROSC,0.052,0.096,0.986,0.13
CDC7,0.083,0.974,0.176,0.117
SPRY4,0.979,0.063,0.175,0.081
OIP5,0.074,0.119,0.1,0.985
FECH,0.016,0.038,0.029,0.999
GRAMD3,0.084,0.974,0.192,0.088
DENND1A,0.096,0.144,0.129,0.976
LSG1,0.079,0.982,0.155,0.078
GLRX,0.103,0.981,0.117,0.112
NCKAP1L,0.095,0.974,0.14,0.15
TLE2,0.07,0.047,0.992,0.099
SDS,0.094,0.983,0.117,0.101
ABCA5,0.025,0.055,0.039,0.997
DDC,0.016,0.011,0.028,0.999
WNT2,0.983,0.084,0.121,0.107
MARK1,0.054,0.081,0.06,0.993
METTL7A,0.019,0.042,0.999,0.005
PRR16,0.981,0.074,0.138,0.111
ZMAT3,0.129,0.042,0.136,0.981
TRAPPC6A,0.018,0.379,0.91,0.165
GCHFR,0.077,0.956,0.186,0.212
NR1D2,0.043,0.02,0.998,0.051
RHOD,0.996,0.018,0.059,0.066
IRF7,0.975,0.095,0.198,0.04
ANKRD46,0.142,0.939,0.228,0.215
PAK6,0.942,0.124,0.243,0.195
LOC57228,0.017,0.029,0.998,0.055
IFI35,0.119,0.973,0.157,0.124
TRPC6,0.144,0.021,0.109,0.983
ABHD2,0.021,0.037,0.062,0.997
MID2,0.049,0.039,0.087,0.994
FAH,0.021,0.021,0.029,0.999
AHNAK,0.112,0.033,0.99,0.08
HLTF,0.065,0.983,0.167,0.041
MYH9,0.975,0.071,0.184,0.107
ECEL1,0.072,0.212,0.965,0.139
SLC14A1,0.021,0.006,1.0,0.023
SPAG16,0.043,0.019,0.999,0.018
CD86,0.102,0.982,0.13,0.087
ACAD8,0.054,0.092,0.993,0.054
LIFR,0.04,0.993,0.111,0.027
TACC3,0.034,0.989,0.087,0.115
PLXNA2,0.097,0.086,0.987,0.091
SQLE,0.086,0.966,0.126,0.209
SRD5A2L,0.037,0.029,0.997,0.058
UBE2S,0.029,0.987,0.064,0.141
PTPRM,0.046,0.028,0.999,0.005
ACAT2,0.044,0.108,0.071,0.991
NRXN1,0.008,0.998,0.032,0.048
SMS,0.07,0.049,0.052,0.995
PLEKHC1,0.984,0.056,0.142,0.088
THBS4,0.073,0.208,0.967,0.129
CLDND1,0.067,0.089,0.082,0.99
GALNT3,0.126,0.033,0.143,0.981
PER3,0.145,0.942,0.286,0.102
KIAA0746,0.032,0.06,0.038,0.997
ECT2,0.063,0.123,0.064,0.988
FLJ22167,0.115,0.135,0.216,0.96
CROT,0.035,0.039,0.999,0.009
COL7A1,0.084,0.069,0.104,0.989
ZNF606,0.087,0.081,0.991,0.061
PEX13,0.93,0.143,0.26,0.218
AHR,0.139,0.026,0.987,0.08
MLLT3,0.076,0.049,0.98,0.18
FZD5,0.084,0.117,0.985,0.098
EPS8L2,0.063,0.023,0.998,0.018
RGL1,0.113,0.977,0.131,0.126
PARP8,0.08,0.04,0.996,0.006
PTPLAD1,0.067,0.079,0.139,0.985
PAK1,0.066,0.091,0.09,0.99
PTEN,0.119,0.956,0.256,0.076
IL7,0.059,0.979,0.173,0.092
SLC3A2,0.071,0.026,0.041,0.996
NFIB,0.944,0.163,0.177,0.225
CYB5A,0.078,0.059,0.99,0.099
PTPRD,0.023,0.006,0.011,1.0
P2RY6,0.083,0.966,0.101,0.224
CD27,0.1,0.981,0.144,0.084
DENND2D,0.012,0.131,0.991,0.006
SIDT1,0.053,0.064,0.995,0.051
TPTE,0.079,0.113,0.985,0.104
FZD2,0.976,0.089,0.159,0.118
